,price,brand,year,mileage
184,4140,ford,2017,65561.923
185,1400,dodge,2002,298405.14
186,18402,cadillac,2016,42907.203
187,4160,ford,2017,59816.184
188,175,chrysler,2000,372065.16
189,24503,chevrolet,2016,28971.654
190,15840,ford,2017,116564.005
191,20500,ford,2014,198478.195
192,21003,chevrolet,2016,70982.644
193,4200,ford,2017,96892.371
194,17400,ford,2011,217338.893
195,32001,chevrolet,2016,51581.322
196,0,ford,2017,123664.522
197,15700,ford,2011,498088.476
198,31009,chevrolet,2016,54590.152
199,3740,ford,2017,145804.362
200,5000,dodge,2001,175960.24
201,31002,chevrolet,2016,115540.681
202,3160,ford,2017,50784.867
203,8600,dodge,2005,353695.207
204,6000,chevrolet,2018,67722.81
205,12990,ford,2017,203575.507
206,25,chevrolet,2020,11636.288
207,13200,buick,2017,96815.139
208,4410,ford,2017,337753.235
209,25,chrysler,2005,244270.335
210,22500,chevrolet,2020,22246.034
211,7420,ford,2017,89869.086
212,13500,ford,2016,73623.013
213,15500,chevrolet,2020,26620.905
214,3540,ford,2017,181644.837
215,17000,ford,2016,204024.418
216,45500,chevrolet,2020,21404.527
217,4130,ford,2017,54804.149
218,15700,ford,2015,113033.859
219,45500,chevrolet,2020,22009.511
220,4130,ford,2017,68263.434
221,15500,dodge,2012,106921.268
222,16300,chevrolet,2020,29317.589
223,4530,ford,2017,66701.095
224,15600,dodge,2011,56757.475
225,45500,chevrolet,2020,22340.965
226,4100,ford,2017,62453.335
227,18200,dodge,2011,261110.129
228,10200,chevrolet,2013,90874.711
229,4080,ford,2017,98192.443
230,5700,ford,2014,287533.127
231,10200,chevrolet,2014,279111.621
232,5000,ford,2017,60049.489
233,1700,ford,2014,181477.501
234,6200,bmw,2011,129353.946
235,3650,ford,2016,109640.478
236,10500,dodge,2014,119392.627
237,43500,chevrolet,2018,92684.836
238,4610,dodge,2016,140351.461
239,3450,ford,2012,145953.999
240,38500,chevrolet,2018,17916.215
241,6810,ford,2016,107450.629
242,2900,ford,2011,307309.346
243,43500,chevrolet,2018,90115.263
244,4450,ford,2016,52269.974
245,5800,ford,2011,315215.972
246,16500,chevrolet,2018,28994.18
247,4240,dodge,2016,133968.558
248,26500,ford,2008,99782.135
249,13700,chevrolet,2017,58601.389
250,8600,ford,2016,117973.489
251,8000,ford,2008,212997.811
252,14200,chevrolet,2017,45072.917
253,7040,ford,2016,53565.219
254,4700,ford,2005,362404.724
255,30851,chevrolet,2016,69470.184
256,4880,ford,2016,59333.484
257,14500,dodge,2006,179857.238
258,7600,chevrolet,2017,177776.801
259,13270,ford,2016,135212.315
260,12800,ford,2012,210941.509
261,33000,chevrolet,2018,84506.289
262,9280,ford,2016,163120.42
263,900,ford,2003,228521.443
264,7560,ford,2016,179364.884
265,19500,ford,2011,123727.273
266,17100,chevrolet,2019,25390.02
267,8020,ford,2016,51397.896
268,10300,ford,2019,30469.632999999998
269,22600,chevrolet,2019,15616.954
270,10480,ford,2016,92178.001
271,10300,ford,2019,32109.203999999998
272,22700,chevrolet,2019,9774.675
273,7410,ford,2016,33843.706
274,10300,ford,2019,36815.529
275,10300,chevrolet,2013,269668.4
276,7570,ford,2016,59938.468
277,67000,dodge,2019,17608.896
278,18900,chevrolet,2019,44410.009
279,12560,ford,2019,25676.422
280,33000,dodge,2019,51891.859
281,18300,chevrolet,2019,41526.681
282,11760,ford,2017,49159.777
283,31700,dodge,2019,42717.341
284,25,dodge,2007,258289.552
285,0,ford,2000,201075.12099999998
286,7340,ford,2019,25509.086
287,8200,hyundai,2017,91214.21
288,3000,kia,2013,156301.478
289,6530,jeep,2019,16387.665
290,0,mazda,2009,189123.469
291,12700,kia,2019,37834.026
292,13800,kia,2017,139917.031
293,0,chevrolet,1998,416137.279
294,725,ford,2017,108251.911
295,7400,ford,2019,26519.538
296,9800,hyundai,2017,57420.383
297,0,honda,2003,245546.272
298,4400,jeep,2019,28818.799
299,10330,infiniti,2019,34236.302
300,1800,chevrolet,2011,76055.821
301,50,chevrolet,2008,276912.118
302,720,ford,2006,43304.626
303,22800,ford,2017,108152.153
304,2500,ford,2017,126625.082
305,0,ford,2003,395918.585
306,9190,gmc,2017,67515.249
307,10900,jeep,2019,21356.257
308,10400,infiniti,2019,51026.217
309,0,chevrolet,2004,0.0
310,0,chevrolet,2003,313228.857
311,7320,chevrolet,2008,523908.099
312,22809,ford,2017,81627.788
313,0,ford,1998,300649.695
314,0,ford,2013,151252.436
315,5520,gmc,2017,85122.536
316,10900,jeep,2019,22839.755
317,6330,jeep,2019,70739.685
318,0,chevrolet,2009,188347.931
319,25,chevrolet,2010,240045.101
320,2320,dodge,2007,180500.838
321,23702,ford,2017,78879.616
322,0,ford,1994,0.0
323,0,ford,1997,327104.873
324,5520,gmc,2017,57635.989
325,4050,heartland,2018,1.609
326,14810,infiniti,2019,52471.099
327,25,chevrolet,2011,169337.596
328,2960,chrysler,2008,263953.232
329,24800,ford,2017,75550.595
330,0,ford,1996,477647.74
331,0,ford,2006,326881.222
332,6270,gmc,2017,113342.787
333,1880,heartland,2012,1.609
334,10050,infiniti,2019,29330.461
335,225,chevrolet,2014,141065.857
336,26900,chevrolet,2018,69092.069
337,1420,chrysler,2007,167987.645
338,27003,ford,2017,92012.274
339,0,ford,2002,345613.2
340,350,ford,2004,381300.82
341,5600,gmc,2017,96231.072
342,6680,heartland,2011,1.609
343,10120,infiniti,2019,33275.729
344,0,chevrolet,2010,221111.998
345,3920,ford,2015,165244.3
346,23100,ford,2017,85711.43
347,0,gmc,2004,378674.932
348,5630,gmc,2017,43756.755
349,0,heartland,2009,1.609
350,2800,jaguar,2019,33546.041
351,0,chevrolet,2008,256258.994
352,8850,ford,2015,231403.162
353,18712,ford,2017,108361.323
354,0,ford,2009,290205.676
355,0,ford,2009,297486.401
356,6300,gmc,2017,188896.6
357,2220,heartland,2010,1.609
358,6930,jeep,2019,76906.982
359,25,chevrolet,2008,210172.407
360,3440,ford,2015,200388.078
361,50412,ford,2017,75830.561
362,25,ford,1994,331714.658
363,950,ford,2001,369886.574
364,9270,gmc,2017,31359.41
365,11380,jeep,2019,19369.142
366,5350,hyundai,2019,70049.424
367,2725,chevrolet,2004,496297.659
368,3790,ford,2015,162336.837
369,40514,ford,2017,145299.136
370,0,ford,1997,236381.408
371,0,ford,1998,211369.503
372,9190,gmc,2017,50512.945999999996
373,10330,infiniti,2019,41726.197
374,1000,acura,2008,190264.25
375,2925,bmw,2013,74110.54
376,3830,ford,2015,81404.137
377,43402,ford,2017,100380.683
378,1025,gmc,2009,272941.10599999997
379,17200,honda,2016,116695.943
380,54680,harley-davidson,2016,15288.718
381,6940,honda,2010,349619.61
382,13080,infiniti,2019,27743.987
383,25,chevrolet,2007,313598.927
384,10630,ford,2015,133384.491
385,43009,ford,2017,122956.562
386,25,gmc,2003,222751.569
387,4600,ford,2006,387350.66
388,4950,honda,2016,114889.036
389,3760,hyundai,2019,48884.638
